Identifier,PMCID,sciscore_hit,trialidentifier_hit,ctregistries_hit,nct_hit
NCT03432676,PMC8019197,False,True,True,True
C000003927,PMC8367657,False,False,True,False
C000012503,PMC8367657,False,False,True,False
NCT01859988,PMC8560147,True,True,True,True
NCT03251989,PMC8561126,False,True,True,True
NCT02793583,PMC8882940,False,True,True,True
NCT 01768585,PMC8024658,False,False,True,True
NCT02832193,PMC8814304,True,True,True,True
201903007834,PMC8577151,False,False,True,False
NCT01768585,PMC8024658,False,True,False,True
NCT03442777,PMC8359283,True,True,True,True
NCT04798235,PMC8983315,False,True,True,True
NCT03022825,PMC8096327,False,True,True,True
NCT02780167,PMC8200343,True,True,True,True
NCT04510012,PMC8922213,True,True,True,True
DRKS00011615,PMC8006617,False,False,True,False
NCT03528863,PMC8842457,False,True,True,True
NCT04269629,PMC8359427,True,True,True,True
CTRI/2019/01/016982,PMC8948332,False,False,True,False
NCT02788773,PMC8524287,False,True,True,True
NCT03494699,PMC8719348,True,True,True,True
NCT03192410,PMC8246616,True,True,True,True
NCT04234061,PMC8882940,False,True,True,True
NCT02578940,PMC8754096,False,True,True,True
ISRCTN14848787,PMC8350004,False,True,True,False
DRKS00020533,PMC8322787,False,False,True,False
NCT03206970,PMC8882940,False,True,True,True
NCT02632396,PMC8882940,False,True,True,True
DRKS00013231,PMC8867313,False,False,True,False
NCT02851706,PMC8561126,False,True,True,True
NCT02825836,PMC8882940,False,True,True,True
NCT04678258,PMC8322787,False,True,True,True
NCT03004248,PMC8648634,False,True,True,True
202102020147,PMC8935403,False,False,True,False
NCT00883051,PMC8195962,True,True,True,True
NL 111,PMC8390327,False,False,True,False
https://gx.doi.org/10.17504/protocols.io.bdp7i5rn,PMC8382122,True,False,False,False
NCT02274428,PMC8176840,False,True,True,True
NCT02706951,PMC8516509,True,True,True,True
NCT03286374,PMC8714017,False,True,True,True
NCT02277743,PMC8560147,True,True,True,True
NCT02260986,PMC8560147,False,True,True,True
NL010,PMC8478793,False,False,True,False
NCT02747251,PMC8411479,True,True,True,True
NCT02601014,PMC8524287,False,True,True,True
NCT02506933,PMC8762141,False,True,True,True
NL557,PMC8478793,False,False,True,False
NCT04434196,PMC8882940,False,True,True,True
NCT03252015,PMC8195962,True,True,True,True
NCT01643187,PMC8710120,True,True,True,True
NCT04072458,PMC8882940,False,True,True,True
NCT01597622,PMC8256836,True,True,True,True
NCT02343120,PMC8882940,False,True,True,True
NCT02168842,PMC8485609,False,True,True,True
NL11,PMC8373830,False,False,True,False
DRKS00016605,PMC8259428,False,False,True,False
NCT01830959,PMC8552567,True,True,True,True
NCT03328299,PMC8753994,True,True,True,True
NCT02825394,PMC8180376,True,True,True,True
NL 78,PMC8390327,False,False,True,False
C000014210,PMC8367657,False,False,True,False
NCT04426955,PMC8489938,False,True,True,True
PACTR201804003064160,PMC8287600,False,False,True,False
ISRCTN18978802,PMC8814304,False,True,True,False
NCT01942135,PMC8265363,False,True,True,True
NCT01953900,PMC8762141,False,True,True,True
ChiCTR1900027451,PMC8258074,False,False,True,False
NCT01041989,PMC8361986,True,True,True,True
NCT01740427,PMC8265363,False,True,True,True
DRKS00015615,PMC8006725,False,False,True,False
NCT03235544,PMC8882940,False,True,True,True
NCT04398953,PMC8882940,False,True,True,True
C000052955,PMC8367657,False,False,True,False
NCT04420962,PMC8496413,False,True,True,True
NCT03229382,PMC8882940,False,True,True,True
NCT03456726,PMC8882940,False,True,True,True
NCT03014635,PMC8648634,False,True,True,True
NCT02755649,PMC8560147,True,True,True,True
NCT03037645,PMC8882940,False,True,True,True
NCT02146924,PMC8762141,True,True,True,True
NCT0002523,PMC8798459,False,True,False,True
NCT01484496,PMC8256836,True,True,True,True
NCT04381234,PMC8323132,False,True,True,True
NCT02985957,PMC8524287,False,True,True,True
2012â€“001989-15,PMC8024658,False,False,True,False
NCT03349060,PMC8374743,False,True,True,True
NCT03653689,PMC8827068,True,True,True,True
IRCT 20100512003915N20,PMC8305757,False,False,True,False
UMIN:000000562,PMC8006606,False,False,True,False
NCT03465436,PMC8195962,True,True,True,True
UMIN000004490,PMC8221703,False,False,True,False
NCT2927821,PMC8745481,False,True,False,True
201803020002,PMC8610312,False,False,True,False
ISRCTN10623443,PMC8475051,False,True,True,False
NL 133,PMC8390327,False,False,True,False
NCT01923051,PMC8089082,True,True,True,True
NCT02153580,PMC8762141,True,True,True,True
NCT01363544,PMC8273841,True,True,True,True
IRCT20130329012869N2,PMC8506249,False,False,True,False
jRCTs031200106,PMC8500489,False,False,True,False
NCT03128528,PMC8712907,True,True,True,True
201603250060,PMC8153979,False,False,True,False
NCT01417598,PMC8608774,True,True,True,True
NCT04669535,PMC8983315,False,True,True,True
NL 147,PMC8390327,False,False,True,False
CTRI/2017/03/008022,PMC8802728,False,False,True,False
NCT03629873,PMC8882940,False,True,True,True
IRCT20200127046275N1,PMC8647262,False,False,True,False
NCT03769506,PMC8353912,False,True,True,True
NCT04636463,PMC8991527,True,True,True,True
NCT04047797,PMC8882940,False,True,True,True
UMIN000040708,PMC8218596,False,False,True,False
NL6435,PMC8713010,False,False,True,False
UMIN000004575,PMC8423660,False,False,True,False
nL 194,PMC8504229,False,False,True,False
201406890016,PMC8749962,False,False,True,False
NCT04198701,PMC8772438,False,True,True,True
NCT02564211,PMC8453748,True,True,True,True
NCT03616834,PMC8323864,False,True,True,True
NCT04622007,PMC8323864,False,True,True,True
NCT03997968,PMC8882940,False,True,True,True
NCT04763083,PMC8882940,False,True,True,True
NCT02420795,PMC8882940,False,True,True,True
NCT02736617,PMC8882940,False,True,True,True
NCT02952508,PMC8882940,False,True,True,True
NCT04082936,PMC8882940,False,True,True,True
NCT02750085,PMC8494515,True,True,True,True
NCT02303002,PMC8648634,False,True,True,True
NCT03495388,PMC8238023,False,True,True,True
ChiCTR1900027404,PMC8579873,False,False,True,False
NCT02425644,PMC8008435,True,True,True,True
UMIN000036097,PMC8381433,False,False,True,False
UMIN000029132,PMC8265923,False,False,True,False
NCT04323657,PMC8882940,False,True,True,True
NCT03161483,PMC8882940,False,True,True,True
NCT03671265,PMC8489938,True,True,True,True
NCT01312350,PMC8009170,True,True,True,True
NCT03850340,PMC8021382,True,True,True,True
NCT02706873,PMC8516509,True,True,True,True
202102310548,PMC8851657,False,False,True,False
NCT03323151,PMC8882940,False,True,True,True
NCT03676504,PMC8882940,False,True,True,True
NCT04282018,PMC8882940,False,True,True,True
201507720006,PMC8359274,False,False,True,False
NCT02277769,PMC8560147,False,True,True,True
NCT03988088,PMC8195962,False,True,True,True
201906635011,PMC8299156,False,False,True,False
NCT04510207,PMC8662959,True,True,True,True
201908350095,PMC8435827,False,False,True,False
NCT04541082,PMC8561126,False,True,True,True
NCT03406845,PMC8902179,True,True,True,True
NCT03796676,PMC8374743,False,True,True,True
201904010464,PMC8590077,False,False,True,False
ACTRN12618001762246,PMC8556752,False,False,True,False
NCT03093220,PMC8760989,True,True,True,True
IRCT20190222042803N1,PMC8236676,False,False,True,False
UMIN000012045,PMC8122242,False,False,True,False
2008-007237-47,PMC8814304,True,False,True,False
NCT04002700,PMC8605955,False,True,True,True
NCT03478514,PMC8882940,False,True,True,True
201803040003,PMC8053869,False,False,True,False
C000004175,PMC8367657,False,False,True,False
NCT02006615,PMC8857363,False,True,True,True
NCT02562755,PMC8487208,False,True,True,True
NCT03128528,PMC8120369,True,True,True,True
https://dx.doi.org/10.17504/protocols.io.bagaibse,PMC8379522,True,False,False,False
C000036701,PMC8367657,False,False,True,False
NCT02593201,PMC8612137,True,True,True,True
NCT02921139,PMC8532585,False,True,True,True
NCT02577003,PMC8453748,True,True,True,True
NCT04126252,PMC8847802,False,True,True,True
NCT03625037,PMC8882940,False,True,True,True
NCT01345253,PMC8256836,True,True,True,True
NCT03616782,PMC8882940,False,True,True,True
NCT03153202,PMC8882940,False,True,True,True
NCT03414229,PMC8019197,False,True,True,True
NCT03014622,PMC8648634,False,True,True,True
NCT02339922,PMC8882940,False,True,True,True
NCT01833104,PMC8280951,True,True,True,True
NCT02969356,PMC8191476,True,True,True,True
NCT03349060,PMC8200343,True,True,True,True
NCT03740529,PMC8882940,False,True,True,True
NCT00418041,PMC8006606,False,True,True,True
NL63,PMC8367657,False,False,True,False
201704020214,PMC8045915,False,False,True,False
NCT02077881,PMC8019197,False,True,True,True
NL577,PMC8478793,False,False,True,False
NCT05076097,PMC8882940,False,True,True,True
NCT04601090,PMC8014826,True,True,True,True
NCT03575871,PMC8200343,True,True,True,True
NCT02138734,PMC8096327,True,True,True,True
NCT03575871,PMC8374743,False,True,True,True
IRCT20151107024909N10,PMC8771815,False,False,True,False
NCT03173950,PMC8561126,False,True,True,True
NCT02853344,PMC8078262,True,True,True,True
ChiCTR2000030970,PMC8246018,False,False,True,False
NCT00826241,PMC8561126,False,True,True,True
NCT02861534,PMC8453520,True,True,True,True
201802020016,PMC8027567,False,False,True,False
KCT0004670,PMC8753277,False,False,True,False
