Identifier,PMCID,sciscore_hit,trialidentifier_hit,ctregistries_hit,nct_hit,paper_url,id_type_group,id_type,id_in_abstract,id_in_methods,id_in_other_location,other_location,paper_is_research_article,comments,tools_agree
NCT03432676,PMC8019197,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8019197/, , , , , , , , ,no
C000003927,PMC8367657,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8367657/, , , , , , , , ,no
C000012503,PMC8367657,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8367657/, , , , , , , , ,no
NCT01859988,PMC8560147,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8560147/, , , , , , , , ,yes
NCT03251989,PMC8561126,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8561126/, , , , , , , , ,no
NCT02793583,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT 01768585,PMC8024658,FALSE,FALSE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8024658/, , , , , , , , ,no
NCT02832193,PMC8814304,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8814304/, , , , , , , , ,yes
201903007834,PMC8577151,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8577151/, , , , , , , , ,no
NCT01768585,PMC8024658,FALSE,TRUE,FALSE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8024658/, , , , , , , , ,no
NCT03442777,PMC8359283,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8359283/, , , , , , , , ,yes
NCT04798235,PMC8983315,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8983315/, , , , , , , , ,no
NCT03022825,PMC8096327,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8096327/, , , , , , , , ,no
NCT02780167,PMC8200343,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8200343/, , , , , , , , ,yes
NCT04510012,PMC8922213,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8922213/, , , , , , , , ,yes
DRKS00011615,PMC8006617,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8006617/, , , , , , , , ,no
NCT03528863,PMC8842457,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8842457/, , , , , , , , ,no
NCT04269629,PMC8359427,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8359427/, , , , , , , , ,yes
CTRI/2019/01/016982,PMC8948332,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8948332/, , , , , , , , ,no
NCT02788773,PMC8524287,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8524287/, , , , , , , , ,no
NCT03494699,PMC8719348,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8719348/, , , , , , , , ,yes
NCT03192410,PMC8246616,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8246616/, , , , , , , , ,yes
NCT04234061,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT02578940,PMC8754096,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8754096/, , , , , , , , ,no
ISRCTN14848787,PMC8350004,FALSE,TRUE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8350004/, , , , , , , , ,no
DRKS00020533,PMC8322787,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8322787/, , , , , , , , ,no
NCT03206970,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT02632396,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
DRKS00013231,PMC8867313,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8867313/, , , , , , , , ,no
NCT02851706,PMC8561126,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8561126/, , , , , , , , ,no
NCT02825836,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT04678258,PMC8322787,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8322787/, , , , , , , , ,no
NCT03004248,PMC8648634,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8648634/, , , , , , , , ,no
202102020147,PMC8935403,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8935403/, , , , , , , , ,no
NCT00883051,PMC8195962,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8195962/, , , , , , , , ,yes
NL 111,PMC8390327,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8390327/, , , , , , , , ,no
https://gx.doi.org/10.17504/protocols.io.bdp7i5rn,PMC8382122,TRUE,FALSE,FALSE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8382122/, , , , , , , , ,no
NCT02274428,PMC8176840,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8176840/, , , , , , , , ,no
NCT02706951,PMC8516509,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8516509/, , , , , , , , ,yes
NCT03286374,PMC8714017,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8714017/, , , , , , , , ,no
NCT02277743,PMC8560147,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8560147/, , , , , , , , ,yes
NCT02260986,PMC8560147,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8560147/, , , , , , , , ,no
NL010,PMC8478793,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8478793/, , , , , , , , ,no
NCT02747251,PMC8411479,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8411479/, , , , , , , , ,yes
NCT02601014,PMC8524287,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8524287/, , , , , , , , ,no
NCT02506933,PMC8762141,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8762141/, , , , , , , , ,no
NL557,PMC8478793,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8478793/, , , , , , , , ,no
NCT04434196,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT03252015,PMC8195962,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8195962/, , , , , , , , ,yes
NCT01643187,PMC8710120,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8710120/, , , , , , , , ,yes
NCT04072458,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT01597622,PMC8256836,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8256836/, , , , , , , , ,yes
NCT02343120,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT02168842,PMC8485609,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8485609/, , , , , , , , ,no
NL11,PMC8373830,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8373830/, , , , , , , , ,no
DRKS00016605,PMC8259428,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8259428/, , , , , , , , ,no
NCT01830959,PMC8552567,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8552567/, , , , , , , , ,yes
NCT03328299,PMC8753994,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8753994/, , , , , , , , ,yes
NCT02825394,PMC8180376,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8180376/, , , , , , , , ,yes
NL 78,PMC8390327,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8390327/, , , , , , , , ,no
C000014210,PMC8367657,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8367657/, , , , , , , , ,no
NCT04426955,PMC8489938,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8489938/, , , , , , , , ,no
PACTR201804003064160,PMC8287600,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8287600/, , , , , , , , ,no
ISRCTN18978802,PMC8814304,FALSE,TRUE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8814304/, , , , , , , , ,no
NCT01942135,PMC8265363,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8265363/, , , , , , , , ,no
NCT01953900,PMC8762141,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8762141/, , , , , , , , ,no
ChiCTR1900027451,PMC8258074,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8258074/, , , , , , , , ,no
NCT01041989,PMC8361986,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8361986/, , , , , , , , ,yes
NCT01740427,PMC8265363,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8265363/, , , , , , , , ,no
DRKS00015615,PMC8006725,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8006725/, , , , , , , , ,no
NCT03235544,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT04398953,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
C000052955,PMC8367657,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8367657/, , , , , , , , ,no
NCT04420962,PMC8496413,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8496413/, , , , , , , , ,no
NCT03229382,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT03456726,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT03014635,PMC8648634,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8648634/, , , , , , , , ,no
NCT02755649,PMC8560147,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8560147/, , , , , , , , ,yes
NCT03037645,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT02146924,PMC8762141,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8762141/, , , , , , , , ,yes
NCT0002523,PMC8798459,FALSE,TRUE,FALSE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8798459/, , , , , , , , ,no
NCT01484496,PMC8256836,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8256836/, , , , , , , , ,yes
NCT04381234,PMC8323132,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8323132/, , , , , , , , ,no
NCT02985957,PMC8524287,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8524287/, , , , , , , , ,no
2012â€“001989-15,PMC8024658,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8024658/, , , , , , , , ,no
NCT03349060,PMC8374743,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8374743/, , , , , , , , ,no
NCT03653689,PMC8827068,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8827068/, , , , , , , , ,yes
IRCT 20100512003915N20,PMC8305757,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8305757/, , , , , , , , ,no
UMIN:000000562,PMC8006606,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8006606/, , , , , , , , ,no
NCT03465436,PMC8195962,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8195962/, , , , , , , , ,yes
UMIN000004490,PMC8221703,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8221703/, , , , , , , , ,no
NCT2927821,PMC8745481,FALSE,TRUE,FALSE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8745481/, , , , , , , , ,no
201803020002,PMC8610312,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8610312/, , , , , , , , ,no
ISRCTN10623443,PMC8475051,FALSE,TRUE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8475051/, , , , , , , , ,no
NL 133,PMC8390327,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8390327/, , , , , , , , ,no
NCT01923051,PMC8089082,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8089082/, , , , , , , , ,yes
NCT02153580,PMC8762141,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8762141/, , , , , , , , ,yes
NCT01363544,PMC8273841,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8273841/, , , , , , , , ,yes
IRCT20130329012869N2,PMC8506249,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8506249/, , , , , , , , ,no
